"quarter","target_month_dates","n","panel_a","panel_b","verified","two_price_months","same_calendar_scrape_both_months"
"Q124","2024-02-06;2024-03-07",2,1,0,2,2,2
"Q124","2024-02-06;2024-03-08",240,101,18,218,240,240
"Q124","2024-02-10;2024-03-08",12,3,1,12,12,12
"Q224","2024-05-03;2024-06-05",2,2,0,2,2,2
"Q224","2024-05-04;2024-06-04",3,0,1,3,3,3
"Q224","2024-05-04;2024-06-05",1,1,0,1,1,1
"Q323","2023-08-04;2023-09-05",2,0,0,2,2,2
"Q323","2023-08-05;2023-09-05",64,0,0,53,64,64
"Q323","2023-08-05;2023-09-06",501,0,0,401,501,501
"Q324","2024-08-05;2024-09-04",6,3,0,5,6,6
"Q324","2024-08-05;2024-09-05",7,4,0,7,7,7
"Q423","2023-11-01;2023-12-04",2,0,1,2,2,2
"Q423","2023-11-02;2023-12-04",414,86,18,368,414,414
"Q423","2023-11-02;2023-12-05",175,17,2,155,175,175
"Q424","2024-11-04;2024-12-04",1,0,0,1,1,1
"Q424","2024-11-04;2024-12-05",9,4,2,8,9,9
