"sample_id","sample","covariates","raw_n","effective_n","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_b_ex2","Panel B: ex_super=f & ex_super2=t","time_fe",1181,1181,0.0237499409782269,0.056610616884957,0.674827687364214,0.0235571718377059,0.0643648544037928,0.714369305632001,0.161813353542966,0.075877763310096,440,""
"panel_b_ex2","Panel B: ex_super=f & ex_super2=t","time_fe_av365",1181,1181,0.0207023094197797,0.0527013975947591,0.694450379707981,0.0221290260457555,0.0601924404270011,0.713143205614899,0.167413041245263,0.074053616430445,447,""
"panel_b_ex2","Panel B: ex_super=f & ex_super2=t","time_fe_av90",1181,1181,0.0269223984403022,0.0551922393670874,0.625696336348636,0.0263786395565736,0.0624879685196271,0.672923200621441,0.161349271451808,0.0735692860575655,440,""
"panel_b_ex2","Panel B: ex_super=f & ex_super2=t","time_fe_av90_av365",1181,1181,0.022172700846669,0.0527969681731688,0.67451348371484,0.02264438916946,0.0600495531423398,0.706102970595287,0.166187805246936,0.0732058190335289,440,""
"panel_b_ex2","Panel B: ex_super=f & ex_super2=t","time_fe_av_extremes",1181,1181,0.0286810254784134,0.0567807492508305,0.613475378449689,0.0261329542977528,0.0640399669121899,0.683220392654114,0.152565314529678,0.0756135546009812,435,""
"panel_b_ex2","Panel B: ex_super=f & ex_super2=t","time_fe_av90_av365_extremes",1181,1181,0.0159577990458268,0.0488786962745229,0.744063040554581,0.0182079845773713,0.0563306271412266,0.746517890391694,0.174499267745494,0.0724963876000777,448,""
"panel_b_ex2_verified","Panel B: ex_super=f & ex_super2=t & host_identity_verified=t","time_fe",1059,1059,0.00122118451773409,0.0589019220162848,0.983459037654539,-0.0118215598245602,0.066306538937389,0.858497991415551,0.147833874100795,0.0748991129863708,369,""
"panel_b_ex2_verified","Panel B: ex_super=f & ex_super2=t & host_identity_verified=t","time_fe_av365",1059,1059,0.00507651753930804,0.0535350408093989,0.92445297912884,-0.00573635317200215,0.0605207558472161,0.924487001501237,0.152703241738348,0.0724650412949166,392,""
"panel_b_ex2_verified","Panel B: ex_super=f & ex_super2=t & host_identity_verified=t","time_fe_av90",1059,1059,0.00612167067753114,0.0569940360559559,0.91446453908159,-0.00667981292112541,0.063905530723389,0.916751645497489,0.147615139350614,0.0729703789737469,368,""
"panel_b_ex2_verified","Panel B: ex_super=f & ex_super2=t & host_identity_verified=t","time_fe_av90_av365",1059,1059,0.00648699006265904,0.0537468522448148,0.90393241710595,-0.00484463037571714,0.0605307529618279,0.936208741776326,0.151524665958546,0.0720719992105515,392,""
"panel_b_ex2_verified","Panel B: ex_super=f & ex_super2=t & host_identity_verified=t","time_fe_av_extremes",1059,1059,-0.000632798184819591,0.0592678061474168,0.991481204688949,-0.0149744521181323,0.0667442984951047,0.822480674611417,0.136835925149863,0.0750304402820911,363,""
"panel_b_ex2_verified","Panel B: ex_super=f & ex_super2=t & host_identity_verified=t","time_fe_av90_av365_extremes",1059,1059,0.00503995937106959,0.0539200308362328,0.925529384971601,-0.00678789391714484,0.0608619039883018,0.911196523459921,0.141702344215712,0.0726120539831068,363,""
