"panel","ex_super","condition","filter_id","filter","raw_n","kept_n","dropped_n","dropped_row_previous_scrape","dropped_any_previous_scrape_q"
"panel_a","t","FULL","baseline","baseline",9550,9550,0,0,0
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9550,9288,262,262,262
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9550,9212,338,262,338
"panel_a","t","Q1Q2","baseline","baseline",4531,4531,0,0,0
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4531,4423,108,108,108
"panel_a","t","Q1Q2","drop_any_target_previous_scrape","drop any target-month source=previous scrape",4531,4385,146,108,146
"panel_a","t","Q2Q3","baseline","baseline",5055,5055,0,0,0
"panel_a","t","Q2Q3","drop_row_previous_scrape","drop row source=previous scrape",5055,4936,119,119,119
"panel_a","t","Q2Q3","drop_any_target_previous_scrape","drop any target-month source=previous scrape",5055,4896,159,119,159
"panel_a","t","Q3Q4","baseline","baseline",5019,5019,0,0,0
"panel_a","t","Q3Q4","drop_row_previous_scrape","drop row source=previous scrape",5019,4865,154,154,154
"panel_a","t","Q3Q4","drop_any_target_previous_scrape","drop any target-month source=previous scrape",5019,4827,192,154,192
"panel_b","f","FULL","baseline","baseline",1181,1181,0,0,0
"panel_b","f","FULL","drop_row_previous_scrape","drop row source=previous scrape",1181,1137,44,44,44
"panel_b","f","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",1181,1128,53,44,53
"panel_b","f","Q1Q2","baseline","baseline",588,588,0,0,0
"panel_b","f","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",588,566,22,22,22
"panel_b","f","Q1Q2","drop_any_target_previous_scrape","drop any target-month source=previous scrape",588,564,24,22,24
"panel_b","f","Q2Q3","baseline","baseline",547,547,0,0,0
"panel_b","f","Q2Q3","drop_row_previous_scrape","drop row source=previous scrape",547,523,24,24,24
"panel_b","f","Q2Q3","drop_any_target_previous_scrape","drop any target-month source=previous scrape",547,520,27,24,27
"panel_b","f","Q3Q4","baseline","baseline",593,593,0,0,0
"panel_b","f","Q3Q4","drop_row_previous_scrape","drop row source=previous scrape",593,571,22,22,22
"panel_b","f","Q3Q4","drop_any_target_previous_scrape","drop any target-month source=previous scrape",593,564,29,22,29
