"filter_id","filter","family","cutoff","raw_n_panel_b","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"baseline_verified","host_identity_verified=t only","baseline",NA,1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"exqltm_1_10","1 <= ex_quarter_ltm <= 10","range","1-10",682,"msetwo_no_fe",-0.177825563826813,0.209104817016453,0.395095221131052,-0.20521768707978,0.246530586592246,0.405170323484968,0.205363931310539,0.0890190658623407,252,""
"exqltm_1_2","1 <= ex_quarter_ltm <= 2","range","1-2",285,"msetwo_no_fe",-0.3503084682844,0.217418136166241,0.107131761161505,-0.383660249992658,0.266595312390415,0.150119072317689,0.281653544164426,0.073046576705916,86,""
"exqltm_1_3","1 <= ex_quarter_ltm <= 3","range","1-3",399,"msetwo_no_fe",-0.37633317455059,0.2750613195303,0.171255992418553,-0.346794898777814,0.322524888906154,0.282262798602041,0.217035120226921,0.0852782485868611,127,""
"exqltm_1_5","1 <= ex_quarter_ltm <= 5","range","1-5",538,"msetwo_no_fe",-0.307376079486751,0.224878003966739,0.17167012449221,-0.426170344189988,0.262942463208885,0.105066086876443,0.203814207963325,0.0976887516544518,183,""
"exqltm_2_20","2 <= ex_quarter_ltm <= 20","range","2-20",683,"msetwo_no_fe",-0.0133961246746256,0.168488788660194,0.936628955457135,-0.0339770461273518,0.201543107002524,0.866123464651376,0.210756047452989,0.0935431440473843,280,""
"exqltm_2_3","2 <= ex_quarter_ltm <= 3","range","2-3",247,"msetwo_fe",-0.0127931919229415,0.200366406922724,0.94909047256499,0.049957660061696,0.227671983062871,0.826316482154165,0.205553926399715,0.0964157743417736,81,""
"exqltm_2_5","2 <= ex_quarter_ltm <= 5","range","2-5",386,"msetwo_no_fe",-0.192206036401622,0.434927501335245,0.658542313850913,-0.368972862800298,0.504604670172921,0.464649825629828,0.221479937302323,0.120168099570731,148,""
"exqltm_3_20","3 <= ex_quarter_ltm <= 20","range","3-20",550,"msetwo_no_fe",-0.00160477367194049,0.130457017921503,0.990185335633673,-0.0172985259396,0.153674199193302,0.910374455841318,0.214474550503557,0.107313798530883,270,""
"exqltm_ge0","ex_quarter_ltm >= 0","lower_bound","0",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"exqltm_ge1","ex_quarter_ltm >= 1","lower_bound","1",1047,"msetwo_no_fe",-0.0730465517146233,0.0529954691513573,0.168093815581727,-0.0956355432679139,0.0606991313560225,0.115125645400006,0.176568148274388,0.0752324961633532,403,""
"exqltm_ge10","ex_quarter_ltm >= 10","lower_bound","10",385,"msetwo_fe",-0.0213648324644303,0.0568781755684232,0.707196123653733,-0.0493801638820379,0.0643970802195447,0.443195978447088,0.084090397789546,0.0604843450514915,130,""
"exqltm_ge15","ex_quarter_ltm >= 15","lower_bound","15",290,"msetwo_no_fe",-0.0246778957007849,0.0589164770663108,0.675316713627943,-0.0390945336671335,0.0650845673277922,0.548057894232531,0.080744304887392,0.0612254269309642,103,""
"exqltm_ge2","ex_quarter_ltm >= 2","lower_bound","2",895,"msetwo_no_fe",-0.0300475897038209,0.0574096773429231,0.600703624859074,-0.0600221750613873,0.0646919139429302,0.353503165456202,0.179189996365092,0.0762914853785428,368,""
"exqltm_ge20","ex_quarter_ltm >= 20","lower_bound","20",225,"msetwo_no_fe",-0.0226941636557783,0.0682802142511989,0.739611338933266,-0.0518857581728627,0.0761820694024084,0.495823576100872,0.0667345916948768,0.0498534460521645,77,""
"exqltm_ge3","ex_quarter_ltm >= 3","lower_bound","3",762,"msetwo_no_fe",-0.0159911259171515,0.0525205355059587,0.760766966429157,-0.0383086423979402,0.0582097371897916,0.510464886905427,0.156319337084585,0.100747475627306,339,""
"exqltm_ge5","ex_quarter_ltm >= 5","lower_bound","5",557,"msetwo_no_fe",-0.0237412958926825,0.0495046585399563,0.631528200286189,-0.0294652817699339,0.0546654693619466,0.589879359612941,0.123130798277187,0.0613114792061042,213,""
"exqltm_le0","ex_quarter_ltm <= 0","upper_bound","0",12,"msetwo_fe",-1.04169494129265,1.74672596472587,0.550928085752987,6.14467153828968,5.7524269830544,0.285435868431496,0.65,0.65,9,""
"exqltm_le1","ex_quarter_ltm <= 1","upper_bound","1",164,"msetwo_fe",-0.158412657038136,0.123656654556547,0.200169572599463,-0.179400926389614,0.156215220571968,0.250794579914336,0.183563522772482,0.0852901475709416,50,""
"exqltm_le10","ex_quarter_ltm <= 10","upper_bound","10",694,"msetwo_no_fe",-0.180061982814812,0.208414936043613,0.387610353004515,-0.21619073295096,0.245955730023581,0.379410873645853,0.204638518218913,0.0887881239534278,256,""
"exqltm_le15","ex_quarter_ltm <= 15","upper_bound","15",781,"msetwo_no_fe",-0.159900449816272,0.152756854746002,0.295208215831441,-0.182429383838062,0.179841478188334,0.310396729139074,0.204625658450051,0.0857407987230274,295,""
"exqltm_le2","ex_quarter_ltm <= 2","upper_bound","2",297,"msetwo_fe",-0.137721039046994,0.0760686577266291,0.0702208624885684,-0.139577136291692,0.0895643985399983,0.119138515869332,0.261118199617244,0.064240699480785,84,""
"exqltm_le20","ex_quarter_ltm <= 20","upper_bound","20",847,"msetwo_no_fe",-0.123781281010035,0.144145945985523,0.39049396350136,-0.164273355893379,0.172450571164098,0.340801765896136,0.184989208325717,0.0863679986143506,322,""
