"quarter","host_id","host_n_listings_q","host_first_month_increment","host_increment_missing_n","host_increment_negative_n","host_inside_first_month_ltm","host_first_month_ltm_missing_n","host_scraped_ltm_count_unique_n","host_scraped_ltm_count","host_scraped_ltm_sum_unique_n","host_scraped_ltm_rating_sum","host_first_month_increment_match","host_first_month_increment_match_nonnegative","host_first_month_ltm_match","host_first_month_increment_match_rating_sum"
"Q124","10008086",1,0,0,0,37,0,1,37,1,181,FALSE,FALSE,TRUE,FALSE
"Q124","10015683",1,1,0,0,6,0,1,6,1,30,FALSE,FALSE,TRUE,FALSE
"Q124","10017420",1,1,0,0,31,0,1,31,1,153,FALSE,FALSE,TRUE,FALSE
"Q124","100288",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","100358374",1,1,0,0,4,0,1,4,1,20,FALSE,FALSE,TRUE,FALSE
"Q124","10040649",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","10051267",1,0,0,0,1,0,1,41,1,204,FALSE,FALSE,FALSE,FALSE
"Q124","10052540",1,0,0,0,3,0,1,4,1,20,FALSE,FALSE,FALSE,FALSE
"Q124","10061009",1,1,0,0,16,0,1,124,1,604,FALSE,FALSE,FALSE,FALSE
"Q124","100671934",1,0,0,0,1,0,1,1,1,4,FALSE,FALSE,TRUE,FALSE
"Q124","100691968",1,0,0,0,9,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","100982305",1,0,0,0,10,0,1,10,1,48,FALSE,FALSE,TRUE,FALSE
"Q124","1010743",1,0,0,0,3,0,1,3,1,15,FALSE,FALSE,TRUE,FALSE
"Q124","10125456",1,0,0,0,13,0,1,13,1,58,FALSE,FALSE,TRUE,FALSE
"Q124","101267763",1,0,0,0,25,0,1,25,1,121,FALSE,FALSE,TRUE,FALSE
"Q124","101435219",2,0,0,0,31,0,1,33,1,160,FALSE,FALSE,FALSE,FALSE
"Q124","10149317",1,1,0,0,5,0,1,58,1,281,FALSE,FALSE,FALSE,FALSE
"Q124","10154339",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","10160214",1,0,0,0,3,0,1,7,1,34,FALSE,FALSE,FALSE,FALSE
"Q124","10162189",1,0,0,0,23,0,1,24,1,118,FALSE,FALSE,FALSE,FALSE
"Q124","101841464",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","101883929",1,0,0,0,29,0,1,30,1,149,FALSE,FALSE,FALSE,FALSE
"Q124","10194781",9,0,0,0,128,0,1,152,1,734,FALSE,FALSE,FALSE,FALSE
"Q124","1019709",1,0,0,0,2,0,1,6,1,29,FALSE,FALSE,FALSE,FALSE
"Q124","101971358",1,0,0,0,4,0,1,4,1,20,FALSE,FALSE,TRUE,FALSE
"Q124","10197436",1,0,0,0,32,0,1,33,1,165,FALSE,FALSE,FALSE,FALSE
"Q124","10198498",1,0,0,0,2,0,1,2,1,10,FALSE,FALSE,TRUE,FALSE
"Q124","1020258",1,0,0,0,5,0,1,5,1,25,FALSE,FALSE,TRUE,FALSE
"Q124","102080453",1,0,0,0,1,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","1021060",1,1,0,0,39,0,1,39,1,194,FALSE,FALSE,TRUE,FALSE
"Q124","10212139",1,0,0,0,6,0,1,23,1,112,FALSE,FALSE,FALSE,FALSE
"Q124","102251846",1,0,0,0,32,0,1,33,1,159,FALSE,FALSE,FALSE,FALSE
"Q124","10225447",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","10239152",1,1,0,0,4,0,1,4,1,20,FALSE,FALSE,TRUE,FALSE
"Q124","102415020",1,0,0,0,1,0,1,1,1,5,FALSE,FALSE,TRUE,FALSE
"Q124","10242065",1,0,0,0,4,0,1,4,1,18,FALSE,FALSE,TRUE,FALSE
"Q124","10243387",1,1,0,0,26,0,1,27,1,133,FALSE,FALSE,FALSE,FALSE
"Q124","102498043",1,0,0,0,26,0,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE
"Q124","10259705",1,0,0,0,6,0,1,9,1,41,FALSE,FALSE,FALSE,FALSE
"Q124","102618751",1,0,0,0,5,0,1,35,1,158,FALSE,FALSE,FALSE,FALSE
"Q124","10263251",1,0,0,0,26,0,1,34,1,151,FALSE,FALSE,FALSE,FALSE
"Q124","102754726",1,0,0,0,7,0,1,8,1,36,FALSE,FALSE,FALSE,FALSE
