"panel","ex_super","condition","filter_id","filter","raw_n","kept_n","dropped_n"
"panel_a","t","FULL","baseline","baseline",9550,9550,0
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9550,9328,222
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",9550,7100,2450
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",9550,4264,5286
"panel_a","t","Q1Q2","baseline","baseline",4531,4531,0
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",4531,4437,94
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",4531,3422,1109
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4531,2133,2398
"panel_a","t","Q2Q3","baseline","baseline",5055,5055,0
"panel_a","t","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",5055,4947,108
"panel_a","t","Q2Q3","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5055,3826,1229
"panel_a","t","Q2Q3","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",5055,2383,2672
"panel_a","t","Q3Q4","baseline","baseline",5019,5019,0
"panel_a","t","Q3Q4","drop_av365_sum0","drop quarter-sum availability_365=0",5019,4891,128
"panel_a","t","Q3Q4","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5019,3678,1341
"panel_a","t","Q3Q4","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",5019,2131,2888
"panel_b","f","FULL","baseline","baseline",1181,1181,0
"panel_b","f","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",1181,1138,43
"panel_b","f","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",1181,949,232
"panel_b","f","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",1181,484,697
"panel_b","f","Q1Q2","baseline","baseline",588,588,0
"panel_b","f","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",588,563,25
"panel_b","f","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",588,478,110
"panel_b","f","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",588,262,326
"panel_b","f","Q2Q3","baseline","baseline",547,547,0
"panel_b","f","Q2Q3","drop_av365_sum0","drop quarter-sum availability_365=0",547,522,25
"panel_b","f","Q2Q3","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",547,450,97
"panel_b","f","Q2Q3","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",547,226,321
"panel_b","f","Q3Q4","baseline","baseline",593,593,0
"panel_b","f","Q3Q4","drop_av365_sum0","drop quarter-sum availability_365=0",593,575,18
"panel_b","f","Q3Q4","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",593,471,122
"panel_b","f","Q3Q4","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",593,222,371
