"av365_sum_group","panel","source","has_availability","has_availability_values_q","n","avg_price_obs","avg_price_positive","calendar_same_day_row","calendar_same_day_row_share","calendar_same_day_both_target_months","calendar_same_day_both_target_months_share"
"av365_sum0","other","previous scrape","t","t",598,598,598,598,1,598,1
"av365_sum0","other","previous scrape","t","f|t",350,350,350,350,1,350,1
"av365_sum0","other","city scrape","t","t",115,115,115,115,1,115,1
"av365_sum0","other","previous scrape","f","f",60,60,60,60,1,60,1
"av365_sum0","other","city scrape","t","|t",25,25,25,25,1,25,1
"av365_sum0","other","city scrape","t","f|t",24,24,24,24,1,24,1
"av365_sum0","other","previous scrape","f","f|t",4,4,4,4,1,4,1
"av365_sum0","panel_a_ex2","city scrape","t","t",87,87,87,87,1,87,1
"av365_sum0","panel_a_ex2","previous scrape","t","f|t",77,77,77,77,1,77,1
"av365_sum0","panel_a_ex2","city scrape","t","|t",27,27,27,27,1,27,1
"av365_sum0","panel_a_ex2","previous scrape","t","t",23,23,23,23,1,23,1
"av365_sum0","panel_a_ex2","city scrape","t","f|t",6,6,6,6,1,6,1
"av365_sum0","panel_a_ex2","previous scrape","f","f",2,2,2,2,1,2,1
"av365_sum0","panel_b_ex2","previous scrape","t","f|t",16,16,16,16,1,16,1
"av365_sum0","panel_b_ex2","city scrape","t","t",12,12,12,12,1,12,1
"av365_sum0","panel_b_ex2","city scrape","t","|t",8,8,8,8,1,8,1
"av365_sum0","panel_b_ex2","city scrape","t","f|t",4,4,4,4,1,4,1
"av365_sum0","panel_b_ex2","previous scrape","t","t",2,2,2,2,1,2,1
"av365_sum0","panel_b_ex2","previous scrape","f","f",1,1,1,1,1,1,1
"av365_sum_positive","other","city scrape","t","t",19128,19128,19128,19128,1,19128,1
"av365_sum_positive","other","city scrape","t","|t",1074,1074,1074,1074,1,1074,1
"av365_sum_positive","other","previous scrape","t","t",596,596,596,596,1,596,1
"av365_sum_positive","other","city scrape","t","f|t",58,58,58,58,1,58,1
"av365_sum_positive","other","previous scrape","t","f|t",12,12,12,12,1,12,1
"av365_sum_positive","other","city scrape","f","f",1,1,1,1,1,1,1
"av365_sum_positive","other","previous scrape","f","f|t",1,1,1,1,1,1,1
"av365_sum_positive","panel_a_ex2","city scrape","t","t",8595,8595,8595,8595,1,8595,1
"av365_sum_positive","panel_a_ex2","city scrape","t","|t",561,561,561,561,1,561,1
"av365_sum_positive","panel_a_ex2","previous scrape","t","t",153,153,153,153,1,153,1
"av365_sum_positive","panel_a_ex2","city scrape","t","f|t",10,10,10,10,1,10,1
"av365_sum_positive","panel_a_ex2","previous scrape","t","f|t",7,7,7,7,1,7,1
"av365_sum_positive","panel_a_ex2","city scrape","f","f|t",2,2,2,2,1,2,1
"av365_sum_positive","panel_b_ex2","city scrape","t","t",1049,1049,1049,1049,1,1049,1
"av365_sum_positive","panel_b_ex2","city scrape","t","|t",63,63,63,63,1,63,1
"av365_sum_positive","panel_b_ex2","previous scrape","t","t",23,23,23,23,1,23,1
"av365_sum_positive","panel_b_ex2","previous scrape","t","f|t",2,2,2,2,1,2,1
"av365_sum_positive","panel_b_ex2","city scrape","t","f|t",1,1,1,1,1,1,1
