"sample_id","sample","filter_id","filter","raw_n","spec","price_conv","price_se_conv","price_pv_conv","price_bc","price_se_robust","price_pv_robust","price_h_left","price_h_right","price_obs_h","fs_conv","fs_se_conv","fs_pv_conv","fs_bc","fs_se_robust","fs_pv_robust","fs_h_left","fs_h_right","fs_obs_h","error"
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"msetwo_fe",0.0237499409782269,0.056610616884957,0.674827687364214,0.0235571718377059,0.0643648544037928,0.714369305632001,0.161813353542966,0.075877763310096,440,0.294806443140105,0.0624579347130306,2.35752004988039e-06,0.294313934260161,0.0730155416098309,5.55779710147165e-05,0.0996716768995757,0.0602666721032066,343,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"twomse_fe",0.0220847292022417,0.0338021427077759,0.51352877233886,0.0211631937316147,0.0453846502726032,0.640995554213053,0.323626707085933,0.151755526620192,637,0.355899377886925,0.0502820919660049,1.4619243334461e-12,0.292044221208198,0.0625351969823842,3.01086011399957e-06,0.199343353799151,0.120533344206413,527,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h020_010_fe",0.0181693712976064,0.0496846852886943,0.714593724259887,0.0399303984186486,0.0638153354085678,0.531499982505613,0.2,0.1,494,0.34404381830674,0.0533648058135151,1.1407288380195e-10,0.308865798945026,0.0672663477987217,4.39684194386799e-06,0.2,0.1,494,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h030_015_fe",0.0231321459766978,0.03487268523977,0.507118351516543,0.0232955422211026,0.0464932951687586,0.616334773801151,0.3,0.15,622,0.422949022179561,0.0456329882296724,1.88794792284251e-20,0.312250938058542,0.0589566331554996,1.18184464192406e-07,0.3,0.15,622,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h040_020_fe",0.0155412248076801,0.0292326314123092,0.594975624314878,0.0350948873753866,0.0396376492466664,0.375944839844913,0.4,0.2,673,0.466792477471718,0.0421831586560321,1.83714167887519e-28,0.33350520180539,0.0545416409488494,9.67451170040066e-10,0.4,0.2,673,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"msetwo_no_fe",-0.0287878935142386,0.0511652071023269,0.573676036536695,-0.0386266318058531,0.0593690697052914,0.515292603197524,0.19308193307871,0.0754742269415783,460,0.351668028511177,0.0585493640789404,1.89745245532434e-09,0.356061846636426,0.0671020516218293,1.1188896271826e-07,0.116481645115488,0.0592362555903327,370,""
"panel_b_ex2","ex_super=f & ex_super2=t","current_ltm_within2","|ltm_scr - host sum number_of_reviews_ltm| <= 2",613,"msetwo_fe",-0.0533783883194504,0.082049161346896,0.515326734384554,-0.0512552286694781,0.0987303034916032,0.603660440053126,0.204174487894787,0.0838331617032867,224,0.45753974110585,0.115406366882391,7.3520033166808e-05,0.451747888516856,0.129366125164823,0.00047939910887538,0.156205793542073,0.0553160996755379,189,""
"panel_b_ex2","ex_super=f & ex_super2=t","current_ltm_within2","|ltm_scr - host sum number_of_reviews_ltm| <= 2",613,"twomse_fe",-0.0273205313840604,0.0445915148245524,0.540084952249811,-0.0357544396802388,0.0780452578172154,0.646863044405551,0.408348975789573,0.167666323406573,301,0.527018577819851,0.0799819912825665,4.42156576855382e-11,0.39472171266613,0.120173596454172,0.0010212870348264,0.312411587084145,0.110632199351076,267,""
"panel_b_ex2","ex_super=f & ex_super2=t","current_ltm_within2","|ltm_scr - host sum number_of_reviews_ltm| <= 2",613,"h020_010_fe",-0.0487889788655118,0.0842112761556786,0.562343613268642,0.0108181196707725,0.150244050072321,0.942599004835948,0.2,0.1,222,0.451688558277988,0.0981729307381076,4.20572237437267e-06,0.335158455338764,0.153450901134668,0.028951864477804,0.2,0.1,222,""
"panel_b_ex2","ex_super=f & ex_super2=t","current_ltm_within2","|ltm_scr - host sum number_of_reviews_ltm| <= 2",613,"h030_015_fe",-0.028685578768482,0.0536877928789198,0.593131530815638,-0.05627638689731,0.0923635599116563,0.54233084601091,0.3,0.15,280,0.53019428249704,0.0771418208956024,6.28738679646702e-12,0.366339168529936,0.119111189716721,0.00210074775685375,0.3,0.15,280,""
