"quarter","spec","raw_n_panel_b","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"Q323","msetwo",4224,0.0165665404652061,0.0363507423286621,0.648575902782657,0.0224042857976401,0.0397206050332043,0.572722185817857,0.281179211592996,0.0744239288123217,1515,""
"Q323","twomse",4224,0.00315505517127227,0.0256305291450342,0.902029856647308,0.0198653392819838,0.0348730318327909,0.568916729251613,0.562358423185991,0.148847857624643,1980,""
"Q323","h020_010",4224,-0.0198519684523985,0.0436362149171282,0.649150610442767,-0.092655514847282,0.0553893086354305,0.0943656816668579,0.2,0.1,1205,""
"Q323","h030_015",4224,0.000772775860988931,0.0310983477392072,0.980175072863026,-0.0411142681234762,0.043235613108489,0.341637251399185,0.3,0.15,1700,""
"Q323","h040_020",4224,0.00426070226971829,0.0310773852725595,0.890951936894748,-0.021553412849802,0.043739105787543,0.622173596743159,0.4,0.2,1917,""
"Q423","msetwo",3745,-0.0250530998605657,0.0427467476745058,0.557820404045672,-0.0381310995007006,0.0468029433725851,0.415234982118548,0.267520753611902,0.0859917682209014,1325,""
"Q423","twomse",3745,0.00393412097224478,0.0309930889954681,0.898991507075652,-0.0205724518743695,0.0398686436796336,0.605850349610975,0.535041507223805,0.171983536441803,1795,""
"Q423","h020_010",3745,-0.0051626558573698,0.044738698320953,0.908131443737981,0.113163011070205,0.0664740510118507,0.0886872114340801,0.2,0.1,1149,""
"Q423","h030_015",3745,-0.0102076495687593,0.0358261464372257,0.775704065933404,0.0133018571990136,0.0495712688216708,0.788439126550895,0.3,0.15,1445,""
"Q423","h040_020",3745,0.00417807978477885,0.0317175855687607,0.895199794998554,-0.0165872774239892,0.0434398191024213,0.70257634324266,0.4,0.2,1689,""
"Q124","msetwo",3184,0.271515183081496,0.0597023645963596,5.42062959855864e-06,0.31836050732951,0.0673177529215976,2.25383330309522e-06,0.375187334726899,0.116230809659881,1600,""
"Q124","twomse",3184,0.209950252587,0.0473535598503411,9.26406249031307e-06,0.298130317379403,0.0590002233085625,4.34839387018343e-07,0.750374669453799,0.232461619319762,1979,""
"Q124","h020_010",3184,0.334038282025153,0.0727439716461044,4.39077257526552e-06,0.517031482284819,0.0942030768954225,4.05412550138558e-08,0.2,0.1,1218,""
"Q124","h030_015",3184,0.289779054276582,0.0623584400154069,3.36813300321692e-06,0.395612575571207,0.0793971226111829,6.27009512123068e-07,0.3,0.15,1589,""
"Q124","h040_020",3184,0.257918254612402,0.0550615898917722,2.81086496176875e-06,0.361748882052715,0.0704696261700511,2.84552038216548e-07,0.4,0.2,1714,""
"Q224","msetwo",2634,-0.648587850504275,0.862442082504662,0.452029161119193,-0.334276658775929,0.941766406303227,0.722629696254834,0.144525545069977,0.0884519008659293,838,""
"Q224","twomse",2634,-0.313830118168539,0.247455511306092,0.204716381931808,0.0135836380402648,0.348338818048454,0.968893995452509,0.289051090139955,0.176903801731859,1466,""
"Q224","h020_010",2634,0.116027168164571,0.747053697724324,0.876574549296503,3.41082488439562,1.03722887510998,0.00100758071051588,0.2,0.1,1111,""
"Q224","h030_015",2634,-0.329703222975815,0.232448779630393,0.156076684449875,-0.0752347496722873,0.324135639206427,0.816453473152746,0.3,0.15,1449,""
"Q224","h040_020",2634,-0.330446150314139,0.159252478876366,0.0379881313450479,-0.244944899189755,0.227465591834154,0.281550079645115,0.4,0.2,1531,""
"Q324","msetwo",2511,0.0272491015081391,0.0288959255231869,0.345676588426177,0.0150586986368446,0.0320972595074983,0.638956424288462,0.508111035598115,0.0734058901254845,1409,""
"Q324","twomse",2511,0.0570993701905566,0.0239285979967609,0.0170216531381729,0.0401821021068748,0.0306279811709795,0.189540065936915,1.01622207119623,0.146811780250969,1713,""
"Q324","h020_010",2511,0.0662744213057821,0.0314598515065045,0.0351492386511264,0.0539413208661684,0.0411370967319803,0.18977082901882,0.2,0.1,992,""
"Q324","h030_015",2511,0.0701694178842325,0.0269560789617419,0.00923845152263619,0.0617849835222925,0.0352717688528327,0.0798282065745311,0.3,0.15,1322,""
"Q324","h040_020",2511,0.0568935743472863,0.0234175191105509,0.015118397395528,0.0819487132858045,0.0309576136719576,0.00811790281055348,0.4,0.2,1475,""
"Q424","msetwo",2185,0.00392891322243212,0.0598985319500839,0.947702010958092,0.00873484441176979,0.0667707205436633,0.89591890083817,0.23918254724313,0.0798756765417369,938,""
"Q424","twomse",2185,0.0503131991792765,0.0357483074564215,0.159300261996527,0.0155126409024042,0.0472755641274069,0.742811611961652,0.47836509448626,0.159751353083474,1295,""
"Q424","h020_010",2185,0.0155257031920482,0.0787968781368578,0.843800542767568,0.00976916471053031,0.105351768102214,0.926118853025301,0.2,0.1,844,""
"Q424","h030_015",2185,0.0449705511647224,0.0450428378688586,0.318087781337113,0.0226364971098827,0.0627082469909516,0.718113514664559,0.3,0.15,1125,""
"Q424","h040_020",2185,0.0608040844699135,0.0343766610789404,0.0769338305997373,0.0318415065866257,0.0477760510508891,0.505108033341668,0.4,0.2,1221,""
