"quarter","host_id","host_n_listings_q","any_full","any_panel_b","any_panel_b_ex2","scraped_unique_n","scraped","inside_ex_ltm","inside_ex_missing_n","inside_first_ltm","inside_first_missing_n","inside_current_ltm","inside_current_missing_n","calc_host_listings","host_listings","host_total_listings","any_previous_scrape","diff_ex","diff_first","diff_current","abs_diff_ex","abs_diff_first","abs_diff_current","best_inside_snapshot","exact_ex","exact_first","exact_current","within1_ex","within2_ex","scraped_gt_ex","inside_gt_ex","observed_all_calc_listings","observed_lt_calc_listings","single_listing_host_q"
"Q124","10008086",1,TRUE,FALSE,FALSE,1,37,42,0,37,0,36,0,1,1,5,FALSE,-5,0,1,5,0,1,"first_month_ltm",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10015683",1,TRUE,FALSE,FALSE,1,6,5,0,6,0,6,0,1,1,1,FALSE,1,0,0,1,0,0,"first_month_ltm",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","10017420",1,TRUE,FALSE,FALSE,1,31,35,0,31,0,30,0,1,1,1,FALSE,-4,0,1,4,0,1,"first_month_ltm",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","100288",1,TRUE,FALSE,FALSE,1,1,1,0,1,0,1,0,1,1,2,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","100358374",1,TRUE,TRUE,FALSE,1,4,3,0,4,0,5,0,1,1,1,FALSE,1,0,-1,1,0,1,"first_month_ltm",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","10040649",1,TRUE,TRUE,FALSE,1,1,1,0,1,0,1,0,1,1,4,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Q124","10051267",1,TRUE,FALSE,FALSE,1,41,1,0,1,0,1,0,1,7,8,FALSE,40,40,40,40,40,40,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Q124","10052540",1,TRUE,FALSE,FALSE,1,4,6,0,3,0,3,0,1,1,1,FALSE,-2,1,1,2,1,1,"first_month_ltm",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Q124","10061009",1,TRUE,FALSE,FALSE,1,124,20,0,16,0,15,0,2,5,5,FALSE,104,108,109,104,108,109,"ex_quarter_ltm",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Q124","100671934",1,TRUE,TRUE,TRUE,1,1,1,0,1,0,1,0,3,3,4,FALSE,0,0,0,0,0,0,"ex_quarter_ltm",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
